ARA homolog	Log FC
AT3G03220	-1.39
AT3G03770	-1.07
AT3G03980	2.23
AT3G03980	1.73
AT3G03990	1.01
AT3G04350	1.10
AT3G04580	1.10
AT3G04580	1.05
AT3G04720	7.51
AT3G04720	5.79
AT3G04790	-1.05
AT3G04810	-1.28
AT3G04950	1.26
AT3G05030	-1.47
AT3G05040	1.16
AT3G05060	1.93
AT3G05170	1.49
AT3G05200	3.83
AT3G05200	1.79
AT3G05330	-2.57
AT3G05470	-1.09
AT3G05480	-1.21
AT3G05500	1.38
AT3G05625	-1.09
AT3G05660	3.13
AT3G05660	2.55
AT3G06030	-1.41
AT3G06030	-1.82
AT3G06035	-1.60
AT3G06130	-1.57
AT3G06180	2.05
AT3G06240	4.20
AT3G06240	1.53
AT3G06790	1.27
AT3G07040	1.87
AT3G07050	1.16
AT3G07090	1.08
AT3G07255	-1.46
AT3G07350	-1.03
AT3G07670	-1.14
AT3G07870	1.22
AT3G07870	1.08
AT3G07880	1.38
AT3G07880	-1.10
AT3G07880	-1.56
AT3G07970	1.37
AT3G08010	-1.26
AT3G08030	-2.74
AT3G08740	-1.40
AT3G08760	2.26
AT3G08860	-1.09
AT3G08900	-2.26
AT3G08920	-1.98
AT3G08940	-1.53
AT3G08940	-1.67
AT3G08943	1.02
AT3G09070	-1.07
AT3G09500	1.07
AT3G09730	-1.03
AT3G09830	1.64
AT3G09830	1.53
AT3G09970	2.66
AT3G09970	1.48
AT3G10040	-1.19
AT3G10050	-1.26
AT3G10070	1.25
AT3G10180	-1.03
AT3G10190	1.46
AT3G10300	-1.09
AT3G10310	-2.37
AT3G10340	1.06
AT3G10530	1.07
AT3G10870	2.07
AT3G10870	-1.02
AT3G10870	-1.88
AT3G11010	1.82
AT3G11210	-1.14
AT3G11340	2.35
AT3G11340	1.88
AT3G11510	1.16
AT3G11580	2.19
AT3G11650	2.27
AT3G11710	1.05
AT3G11964	1.42
AT3G11964	1.32
AT3G11964	1.25
AT3G11964	1.25
AT3G11964	1.10
AT3G12060	-1.74
AT3G12110	-1.03
AT3G12110	-1.32
AT3G12110	-1.47
AT3G12110	-1.95
AT3G12120	-1.07
AT3G12120	-1.11
AT3G12120	-1.14
AT3G12170	-1.13
AT3G12270	1.13
AT3G12270	1.08
AT3G12500	-1.74
AT3G12500	-4.35
AT3G12500	-4.54
AT3G12580	1.22
AT3G12710	-1.41
AT3G12780	-1.09
AT3G12955	-2.52
AT3G13050	2.34
AT3G13050	1.32
AT3G13050	-1.06
AT3G13060	1.15
AT3G13080	4.51
AT3G13080	3.32
AT3G13080	2.33
AT3G13080	2.17
AT3G13080	1.68
AT3G13110	1.98
AT3G13110	1.68
AT3G13120	-1.31
AT3G13225	3.54
AT3G13230	1.97
AT3G13330	1.86
AT3G13460	1.03
AT3G13600	1.63
AT3G13690	-1.56
AT3G13790	1.75
AT3G14110	-1.18
AT3G14290	1.07
AT3G14310	-1.17
AT3G14310	-2.03
AT3G14360	-1.62
AT3G14370	1.28
AT3G14420	2.10
AT3G14460	1.65
AT3G14470	1.59
AT3G14680	1.90
AT3G14680	1.25
AT3G14690	5.38
AT3G14690	5.05
AT3G14690	5.01
AT3G14690	4.52
AT3G14690	3.03
AT3G14690	2.22
AT3G14690	2.21
AT3G14690	1.98
AT3G14690	1.72
AT3G14880	2.27
AT3G14880	2.00
AT3G14880	1.09
AT3G14930	-1.17
AT3G14930	-1.43
AT3G15030	-1.28
AT3G15180	-1.18
AT3G15190	-1.04
AT3G15351	1.15
AT3G15520	-1.18
AT3G15520	-1.36
AT3G15550	-2.26
AT3G15570	-1.07
AT3G15570	-1.19
AT3G15680	-1.17
AT3G15760	3.12
AT3G15850	2.90
AT3G15990	-1.35
AT3G16180	1.78
AT3G16240	-2.50
AT3G16360	-2.21
AT3G16370	-1.52
AT3G16370	-1.75
AT3G16490	-1.66
AT3G16500	-1.20
AT3G16520	-1.82
AT3G16720	2.45
AT3G16730	-1.00
AT3G16770	1.42
AT3G16780	1.07
AT3G16785	-1.14
AT3G16810	1.43
AT3G16910	1.33
AT3G17100	-1.18
AT3G17100	-1.22
AT3G17390	-1.42
AT3G17640	-1.23
AT3G17980	3.34
AT3G18000	-1.80
AT3G18280	1.60
AT3G18280	-1.54
AT3G18490	-1.11
AT3G18580	1.29
AT3G18610	1.38
AT3G18610	1.31
AT3G18610	1.20
AT3G18630	-1.26
AT3G18640	2.18
AT3G18670	2.56
AT3G18670	1.86
AT3G18830	1.66
AT3G18890	-1.10
AT3G18940	1.09
AT3G19050	-2.23
AT3G19050	-2.34
AT3G19050	-2.35
AT3G19184	-2.05
AT3G19240	-1.64
AT3G19360	1.88
AT3G19360	1.85
AT3G19590	-1.20
AT3G19820	-2.25
AT3G20000	1.00
AT3G20060	-1.72
AT3G20150	-2.19
AT3G20150	-2.74
AT3G20260	-2.40
AT3G20410	1.31
AT3G20680	-1.17
AT3G20810	-1.28
AT3G20820	-2.16
AT3G20860	-1.12
AT3G21150	1.14
AT3G21180	2.49
AT3G21190	-1.28
AT3G21480	2.09
AT3G21760	4.97
AT3G21760	4.94
AT3G21760	3.68
AT3G21800	5.18
AT3G21820	1.12
AT3G22104	-1.57
AT3G22330	1.35
AT3G22330	1.06
AT3G22400	-1.71
AT3G22600	4.19
AT3G22660	1.15
AT3G22660	1.10
AT3G22750	1.27
AT3G22780	-2.00
AT3G22790	-1.08
AT3G22800	-1.89
AT3G22810	-1.26
AT3G22830	-2.48
AT3G22910	3.17
AT3G23050	-1.46
AT3G23090	-1.07
AT3G23160	1.08
AT3G23230	3.16
AT3G23230	2.60
AT3G23240	1.62
AT3G23590	-1.14
AT3G23600	-1.07
AT3G23620	1.86
AT3G23670	-2.40
AT3G23730	1.04
AT3G23750	2.85
AT3G23820	-1.32
AT3G23830	1.15
AT3G23830	1.06
AT3G23890	-1.07
AT3G23890	-1.37
AT3G23890	-1.62
AT3G23890	-2.80
AT3G23990	1.14
AT3G24500	6.29
AT3G24520	-1.27
AT3G24620	-1.02
AT3G25070	1.93
AT3G25070	1.73
AT3G25160	-1.47
AT3G25230	-1.23
AT3G25250	2.76
AT3G25490	1.44
AT3G25545	1.03
AT3G25570	2.10
AT3G25570	1.23
AT3G25690	-1.71
AT3G25940	1.02
AT3G25980	-2.70
AT3G26060	-1.16
AT3G26090	1.95
AT3G26570	-1.15
AT3G26590	-1.25
AT3G26600	2.19
AT3G26740	-1.41
AT3G26744	1.31
AT3G26950	-2.21
AT3G26980	1.09
AT3G27010	-1.22
AT3G27120	-1.07
AT3G27160	-1.09
AT3G27330	-1.25
AT3G27350	-1.38
AT3G27550	1.02
AT3G27640	-1.15
AT3G27690	-2.00
AT3G27830	-1.13
AT3G27850	-1.35
AT3G27890	3.33
AT3G27890	1.31
AT3G27890	-2.10
AT3G28200	-1.07
AT3G28210	2.21
AT3G28210	1.88
AT3G28450	1.44
AT3G28600	3.95
AT3G28600	3.38
AT3G28960	3.94
AT3G29170	1.17
AT3G29170	1.17
AT3G29240	-1.04
AT3G29320	-1.35
AT3G29410	-1.20
AT3G30300	-1.60
AT3G42660	-1.72
AT3G42725	-1.20
AT3G42725	-2.29
AT3G43190	1.17
AT3G43210	-2.15
AT3G43600	-1.10
AT3G43720	-1.84
AT3G43720	-1.89
AT3G43790	-2.58
AT3G44050	-2.59
AT3G44590	1.17
AT3G44750	1.94
AT3G44850	1.15
AT3G44960	-1.83
AT3G45070	2.20
AT3G45070	1.27
AT3G45070	-1.42
AT3G45070	-1.84
AT3G45140	-1.04
AT3G45140	-1.31
AT3G45310	1.10
AT3G45430	1.87
AT3G45640	2.40
AT3G45640	1.02
AT3G45850	-1.63
AT3G45900	-1.05
AT3G45930	-1.16
AT3G45930	-1.16
AT3G45930	-1.51
AT3G45930	-1.92
AT3G45930	-1.97
AT3G45930	-1.97
AT3G45930	-2.89
AT3G45930	-3.68
AT3G45960	-1.47
AT3G45980	-1.38
AT3G45980	-1.68
AT3G45980	-1.83
AT3G46540	2.15
AT3G46550	-1.02
AT3G46600	-2.33
AT3G46780	-1.38
AT3G46780	-1.43
AT3G46940	-2.76
AT3G47070	-1.09
AT3G47370	1.62
AT3G47370	1.09
AT3G47390	-1.65
AT3G47470	-1.49
AT3G47520	-3.05
AT3G47620	-1.39
AT3G47620	-2.40
AT3G47690	-1.55
AT3G47730	1.85
AT3G47800	1.21
AT3G47860	-1.03
AT3G47990	-1.16
AT3G48090	2.78
AT3G48160	-1.16
AT3G48210	-1.54
AT3G48250	1.22
AT3G48310	1.43
AT3G48410	1.52
AT3G48420	-1.01
AT3G48460	-1.43
AT3G48460	-1.79
AT3G48460	-2.13
AT3G48520	-1.04
AT3G48540	-1.24
AT3G48610	-1.07
AT3G48950	-1.88
AT3G49010	1.06
AT3G49010	1.00
AT3G49190	-1.11
AT3G49190	-1.35
AT3G49190	-1.82
AT3G49670	1.90
AT3G49900	-1.80
AT3G49940	1.94
AT3G49950	-1.78
AT3G50560	-1.34
AT3G50610	2.46
AT3G50660	1.10
AT3G50740	1.87
AT3G50760	-1.27
AT3G50810	1.48
AT3G50930	5.11
AT3G50940	1.74
AT3G51150	-1.23
AT3G51280	-3.13
AT3G51420	-1.21
AT3G51590	-1.25
AT3G51680	1.80
AT3G51710	-1.01
AT3G51710	-1.05
AT3G51720	-2.08
AT3G51740	-3.30
AT3G51790	2.19
AT3G51790	1.21
AT3G51895	-2.92
AT3G51930	-1.68
AT3G51950	-1.43
AT3G52180	-1.16
AT3G52220	1.05
AT3G52450	1.25
AT3G52710	1.91
AT3G52740	-1.90
AT3G52890	-1.09
AT3G52960	-1.06
AT3G52990	1.16
AT3G52990	-1.02
AT3G53130	-1.19
AT3G53190	-1.93
AT3G53190	-2.06
AT3G53420	-1.22
AT3G53430	1.14
AT3G53810	1.14
AT3G53940	1.24
AT3G54020	1.08
AT3G54050	-1.15
AT3G54110	-1.20
AT3G54220	1.12
AT3G54250	-1.56
AT3G54260	-1.72
AT3G54400	-2.57
AT3G54420	4.12
AT3G54420	3.68
AT3G54420	2.59
AT3G54420	2.35
AT3G54420	1.23
AT3G54450	1.15
AT3G54560	-2.02
AT3G54700	1.12
AT3G54750	-1.21
AT3G54770	-1.13
AT3G54890	-1.04
AT3G54890	-1.04
AT3G55020	-1.02
AT3G55040	5.24
AT3G55040	5.02
AT3G55270	2.28
AT3G55280	1.00
AT3G55290	1.04
AT3G55430	1.20
AT3G55510	1.12
AT3G55605	1.89
AT3G55605	1.88
AT3G55620	1.33
AT3G55700	2.77
AT3G55740	1.14
AT3G55780	-1.60
AT3G55800	-1.07
AT3G55950	2.06
AT3G55950	1.52
AT3G55970	-1.13
AT3G56050	1.80
AT3G56100	1.23
AT3G56100	-2.05
AT3G56100	-2.22
AT3G56100	-2.26
AT3G56130	-1.02
AT3G56200	-1.30
AT3G56320	-1.09
AT3G56370	-1.72
AT3G56400	2.88
AT3G56480	-1.12
AT3G56630	-1.44
AT3G56710	1.18
AT3G56940	-1.31
AT3G56990	1.10
AT3G57000	1.26
AT3G57060	-1.60
AT3G57150	1.78
AT3G57260	2.28
AT3G57400	-1.74
AT3G57520	2.51
AT3G57550	2.00
AT3G57650	-1.04
AT3G57670	1.72
AT3G57750	1.05
AT3G57790	-1.16
AT3G57830	-1.08
AT3G57860	-1.00
AT3G57860	-2.52
AT3G57980	1.19
AT3G58060	-1.04
AT3G58660	1.34
AT3G58660	1.23
AT3G58660	1.08
AT3G58690	-1.66
AT3G59080	2.44
AT3G59140	1.93
AT3G59140	-1.09
AT3G59140	-1.28
AT3G59400	-1.57
AT3G59420	-1.04
AT3G59550	1.56
AT3G59780	-1.41
AT3G59820	1.54
AT3G59820	1.49
AT3G59940	-1.26
AT3G60130	-3.78
AT3G60130	-4.32
AT3G60160	2.17
AT3G60160	1.95
AT3G60240	1.31
AT3G60245	1.02
AT3G60260	-1.22
AT3G60450	1.58
AT3G60880	1.86
AT3G61110	1.25
AT3G61470	-1.77
AT3G61490	1.43
AT3G61650	-1.12
AT3G61750	-1.33
AT3G61790	1.02
AT3G61870	-1.40
AT3G61880	2.30
AT3G62030	-1.16
AT3G62110	-1.21
AT3G62260	1.23
AT3G62370	1.27
AT3G62420	1.48
AT3G62420	1.33
AT3G62630	-1.43
AT3G62660	-1.21
AT3G62700	2.02
AT3G62720	-1.27
AT3G62750	-4.84
AT3G62860	-1.54
AT3G62950	-1.28
AT3G62970	1.54
AT3G63010	2.25
AT3G63140	-1.13
AT3G63170	-1.14
AT3G63190	-1.02
AT3G63200	-1.41
AT3G63200	-1.54
AT3G63240	-1.01
AT3G63380	3.27
AT3G63380	1.19
AT3G63380	1.09
AT3G63430	-1.42
AT3G63430	-2.95
AT3G63440	1.94
AT3G63470	-2.68
AT3G63490	-1.00
AT3G63540	-1.05
AT4G00400	-1.57
AT4G00570	-1.04
AT4G00750	-1.97
AT4G00820	-1.02
AT4G00850	2.59
AT4G00870	2.00
AT4G00870	1.96
AT4G00870	-1.13
AT4G01050	-1.03
AT4G01070	1.28
AT4G01070	-1.05
AT4G01270	-1.05
AT4G01310	-1.13
AT4G01370	1.12
AT4G01560	1.15
AT4G01730	-2.64
AT4G01800	-1.00
AT4G01870	3.78
AT4G01900	-1.20
AT4G02060	-1.36
AT4G02060	-1.54
AT4G02080	-1.09
AT4G02110	1.72
AT4G02290	-1.27
AT4G02290	-2.59
AT4G02290	-4.83
AT4G02320	-2.90
AT4G02340	-1.04
AT4G02360	-1.70
AT4G02390	1.61
AT4G02400	1.06
AT4G02520	6.02
AT4G02590	1.17
AT4G02610	1.27
AT4G02630	-1.15
AT4G02630	-1.59
AT4G02770	-1.00
AT4G02800	-2.46
AT4G02860	5.02
AT4G02860	2.85
AT4G02930	1.39
AT4G03100	-1.22
AT4G03100	-2.06
AT4G03110	-1.29
AT4G03115	-1.12
AT4G03210	-1.03
AT4G03210	-1.75
AT4G03230	1.50
AT4G03230	1.37
AT4G03390	-1.13
AT4G03440	2.15
AT4G03490	3.27
AT4G03490	2.44
AT4G03500	2.48
AT4G03500	1.05
AT4G03500	-1.73
AT4G03560	-1.17
AT4G03960	1.85
AT4G04350	-1.00
AT4G04980	-1.45
AT4G05180	-1.25
AT4G05180	-1.39
AT4G05200	3.66
AT4G05200	3.28
AT4G05200	1.73
AT4G05390	1.21
AT4G05410	1.38
AT4G05520	-1.90
AT4G08170	1.72
AT4G08170	-1.04
AT4G08300	1.09
AT4G08330	-1.97
AT4G08330	-2.07
AT4G08570	-2.13
AT4G08850	1.60
AT4G08850	1.58
AT4G08850	1.44
AT4G08850	1.34
AT4G08850	1.11
AT4G08870	-2.64
AT4G08870	-3.29
AT4G08950	3.31
AT4G08950	2.82
AT4G09010	-1.02
AT4G09130	3.27
AT4G09670	-1.02
AT4G09670	-1.45
AT4G09810	2.71
AT4G10340	-1.58
AT4G10500	1.64
AT4G10630	-2.38
AT4G10770	-2.19
AT4G10850	-2.45
AT4G11060	1.29
AT4G11070	2.88
AT4G11070	2.85
AT4G11080	-3.30
AT4G11600	1.09
AT4G11610	3.19
AT4G11650	5.88
AT4G11650	5.76
AT4G11650	5.33
AT4G11820	-1.05
AT4G11820	-1.93
AT4G12060	-1.04
AT4G12110	-2.62
AT4G12420	-2.48
AT4G12440	-1.01
AT4G12560	2.61
AT4G12560	1.92
AT4G12690	-1.24
AT4G12730	-1.11
AT4G12750	1.28
AT4G12910	1.93
AT4G12970	-1.02
AT4G13010	1.55
AT4G13010	1.17
AT4G13010	1.13
AT4G13010	-1.00
AT4G13180	6.20
AT4G13180	5.68
AT4G13370	-1.83
AT4G13370	-2.08
AT4G13400	1.27
AT4G13420	4.26
AT4G13430	1.89
AT4G13510	3.54
AT4G13510	-2.17
AT4G13540	-2.30
AT4G13700	-1.38
AT4G13710	-1.67
AT4G13710	-1.91
AT4G13710	-2.92
AT4G13710	-3.11
AT4G13750	1.16
AT4G13870	-1.55
AT4G13930	-1.23
AT4G13930	-1.28
AT4G13940	-1.37
AT4G13980	1.81
AT4G14220	1.31
AT4G14310	-1.88
AT4G14330	-2.73
AT4G14580	-1.17
AT4G14720	-1.12
AT4G14770	-1.13
AT4G14770	-2.04
AT4G14870	-1.28
AT4G15010	1.23
AT4G15140	-3.76
AT4G15210	-1.04
AT4G15210	-2.01
AT4G15440	-2.47
AT4G15480	-1.16
AT4G15480	-1.62
AT4G15510	-1.01
AT4G15560	-2.79
AT4G15630	-1.19
AT4G15790	-1.62
AT4G15890	-1.28
AT4G15920	-1.27
AT4G15930	-1.06
AT4G16260	-1.99
AT4G16442	-2.40
AT4G16480	1.95
AT4G16563	2.57
AT4G16970	-1.12
AT4G17030	4.77
AT4G17090	-1.11
AT4G17090	-1.16
AT4G17230	1.56
AT4G17230	1.50
AT4G17240	-1.61
AT4G17390	1.07
AT4G17390	1.02
AT4G17500	3.55
AT4G17500	3.13
AT4G17520	2.72
AT4G17520	1.05
AT4G17600	-1.11
AT4G17770	-1.45
AT4G17900	2.21
AT4G17900	1.88
AT4G17905	2.46
AT4G18030	-1.82
AT4G18030	-1.96
AT4G18100	1.17
AT4G18100	1.17
AT4G18220	1.07
AT4G18240	-1.00
AT4G18593	1.19
AT4G18760	-1.54
AT4G18880	1.52
AT4G19010	-1.34
AT4G19020	-1.12
AT4G19020	-1.21
AT4G19020	-1.35
AT4G19030	2.50
AT4G19160	-1.33
AT4G19170	-1.46
AT4G19380	-1.22
AT4G19380	-1.76
AT4G19420	2.34
AT4G19420	2.24
AT4G19460	1.01
AT4G19810	2.55
AT4G19880	1.47
AT4G20050	-1.12
AT4G20070	1.36
AT4G20140	1.88
AT4G20360	-1.28
AT4G20430	-1.27
AT4G20760	-1.49
AT4G20780	1.04
AT4G20840	2.24
AT4G20940	-1.48
AT4G21110	1.31
AT4G21120	1.99
AT4G21220	1.24
AT4G21270	-2.47
AT4G21270	-3.03
AT4G21380	2.52
AT4G21440	1.03
AT4G21490	3.57
AT4G21534	1.25
AT4G21570	-1.19
AT4G21580	1.15
AT4G21705	1.98
AT4G21760	-1.21
AT4G21820	-2.45
AT4G21960	-2.85
AT4G21960	-3.00
AT4G21990	1.15
AT4G21990	-1.52
AT4G22010	-2.23
AT4G22030	1.30
AT4G22130	-1.24
AT4G22290	-2.11
AT4G22380	2.19
AT4G22380	1.36
AT4G22540	-1.06
AT4G22756	-1.21
AT4G22860	-2.09
AT4G22950	-1.10
AT4G23030	1.93
AT4G23150	-1.12
AT4G23180	1.57
AT4G23190	2.68
AT4G23490	-1.71
AT4G23490	-1.91
AT4G23650	1.53
AT4G23650	1.26
AT4G23650	1.05
AT4G23650	1.02
AT4G23740	-2.68
AT4G23800	-4.71
AT4G23820	-2.58
AT4G23890	-1.25
AT4G23980	-1.72
AT4G23990	-1.57
AT4G24010	1.75
AT4G24110	2.45
AT4G24160	1.21
AT4G24240	3.18
AT4G24290	1.02
AT4G24310	2.09
AT4G24610	1.00
AT4G24610	-1.01
AT4G24660	-1.55
AT4G24660	-1.99
AT4G24780	-1.49
AT4G24780	-1.86
AT4G24780	-2.08
AT4G24790	-1.33
AT4G24790	-1.69
AT4G25080	-1.02
AT4G25200	1.07
AT4G25210	1.16
AT4G25240	-2.08
AT4G25340	1.13
AT4G25434	2.56
AT4G25640	-1.31
AT4G25650	-1.05
AT4G25650	-2.53
AT4G25650	-2.86
AT4G25720	-1.22
AT4G25730	1.29
AT4G25800	1.65
AT4G25810	2.67
AT4G25810	2.57
AT4G25810	2.29
AT4G25850	-1.62
AT4G26090	1.40
AT4G26140	-1.49
AT4G26240	1.11
AT4G26600	1.27
AT4G26690	1.67
AT4G26790	-1.08
AT4G27070	1.38
AT4G27190	2.88
AT4G27190	1.43
AT4G27220	1.41
AT4G27230	2.00
AT4G27270	2.86
AT4G27290	3.53
AT4G27300	3.74
AT4G27420	-1.99
AT4G27440	-2.46
AT4G27450	1.84
AT4G27480	1.56
AT4G27670	-1.01
AT4G27940	1.65
AT4G27950	2.76
AT4G27950	2.61
AT4G27950	1.50
AT4G27950	1.50
AT4G27950	1.43
AT4G28050	1.67
AT4G28250	-1.67
AT4G28250	-1.73
AT4G28310	-1.39
AT4G28450	1.16
AT4G28500	3.23
AT4G28570	-1.03
AT4G28660	-1.31
AT4G28680	1.57
AT4G28780	-2.43
AT4G28940	-2.14
AT4G28950	-1.24
AT4G29010	2.21
AT4G29010	1.36
AT4G29190	-1.02
AT4G29210	1.59
AT4G29270	2.10
AT4G29310	-1.46
AT4G29510	1.37
AT4G29590	-1.14
AT4G29720	-1.27
AT4G29990	1.40
AT4G30020	-1.23
AT4G30130	-1.25
AT4G30160	-1.14
AT4G30380	4.34
AT4G30420	2.50
AT4G30490	1.08
AT4G30710	-1.08
AT4G30710	-1.19
AT4G30930	1.14
AT4G31120	1.00
AT4G31140	-1.28
AT4G31290	-1.55
AT4G31480	-1.21
AT4G31500	1.76
AT4G31590	-1.20
AT4G31770	1.26
AT4G31860	1.03
AT4G31890	-1.96
AT4G31980	2.43
AT4G32170	-2.04
AT4G32250	1.00
AT4G32260	-1.09
AT4G32290	-1.44
AT4G32300	1.73
AT4G32300	1.14
AT4G32700	1.74
AT4G32700	1.26
AT4G32720	1.14
AT4G32730	-1.24
AT4G32800	-2.32
AT4G32830	-2.33
AT4G32830	-4.08
AT4G32870	-1.55
AT4G32890	-1.53
AT4G32940	2.01
AT4G33050	1.45
AT4G33110	-1.14
AT4G33220	-1.63
AT4G33270	-1.38
AT4G33270	-3.28
AT4G33300	1.69
AT4G33300	1.16
AT4G33495	1.42
AT4G33565	1.67
AT4G33720	6.05
AT4G33720	3.54
AT4G33790	-1.99
AT4G33840	-1.36
AT4G33920	1.42
AT4G34090	-1.35
AT4G34090	-1.56
AT4G34131	5.82
AT4G34131	3.39
AT4G34131	1.83
AT4G34131	1.43
AT4G34131	1.13
AT4G34160	-2.09
AT4G34220	-1.96
AT4G34260	-1.33
AT4G34440	-1.86
AT4G34470	1.60
AT4G34500	-1.73
AT4G34510	-1.09
AT4G34640	-1.48
AT4G34670	1.10
AT4G34670	1.01
AT4G34800	-2.77
AT4G34880	-1.88
AT4G34910	1.51
AT4G34980	-1.34
AT4G35020	-1.01
AT4G35100	-1.51
AT4G35100	-1.52
AT4G35160	-1.90
AT4G35560	-1.22
AT4G35580	2.50
AT4G35730	-2.70
AT4G35770	-1.50
AT4G35920	-1.64
AT4G35930	1.26
AT4G36040	-1.34
AT4G36180	-1.62
AT4G36180	-1.83
AT4G36360	-1.37
AT4G36360	-1.61
AT4G36360	-1.69
AT4G36360	-1.87
AT4G36360	-1.99
AT4G36470	1.16
AT4G36520	-1.30
AT4G36550	1.92
AT4G36550	1.56
AT4G36640	-1.02
AT4G36810	-1.07
AT4G36850	2.54
AT4G36920	-1.03
AT4G36945	1.13
AT4G36990	3.13
AT4G37030	1.62
AT4G37090	-1.06
AT4G37180	2.24
AT4G37260	1.09
AT4G37310	4.09
AT4G37360	2.78
AT4G37450	-1.79
AT4G37530	1.78
AT4G37640	1.09
AT4G37740	-1.29
AT4G37750	-1.28
AT4G37770	1.60
AT4G37800	-1.38
AT4G37850	-1.32
AT4G37850	-1.90
AT4G37870	-2.12
AT4G37925	-1.03
AT4G37930	-1.01
AT4G37990	3.82
AT4G37990	3.05
AT4G37990	2.43
AT4G37990	1.69
AT4G38040	1.37
AT4G38062	-1.13
AT4G38062	-1.36
AT4G38062	-1.55
AT4G38062	-2.11
AT4G38210	-1.11
AT4G38400	-2.81
AT4G38430	-1.43
AT4G38470	-1.14
AT4G38660	-2.38
AT4G38770	-1.98
AT4G38830	1.20
AT4G38970	-1.11
AT4G39010	-1.53
AT4G39090	-1.07
AT4G39140	1.01
AT4G39200	1.08
AT4G39230	-4.82
AT4G39330	2.51
AT4G39330	-1.25
AT4G39330	-1.88
AT4G39480	-1.58
AT4G39630	-1.55
AT4G39660	-1.03
AT4G39710	-1.23
AT4G39720	1.80
AT4G39790	-1.30
AT4G39790	-1.83
AT4G39790	-2.09
AT4G39830	2.04
AT5G01420	-2.04
AT5G01530	-1.24
AT5G01740	3.62
AT5G01910	-2.06
AT5G02020	2.07
AT5G02160	-1.73
AT5G02290	1.21
AT5G02370	-1.59
AT5G02440	-1.25
AT5G02560	-1.50
AT5G02560	-1.52
AT5G03040	1.45
AT5G03170	-1.47
AT5G03300	-1.01
AT5G03300	-1.99
AT5G03380	2.45
AT5G03720	1.35
AT5G03760	-1.25
AT5G03795	1.71
AT5G03860	2.55
AT5G03870	-2.07
AT5G04170	1.53
AT5G04410	1.23
AT5G04500	1.46
AT5G04530	-2.21
AT5G04590	1.28
AT5G04600	1.21
AT5G04600	1.05
AT5G04660	-1.26
AT5G04885	-1.03
AT5G04885	-1.11
AT5G04930	1.07
AT5G05080	-1.04
AT5G05180	-1.50
AT5G05320	3.61
AT5G05320	1.00
AT5G05340	3.19
AT5G05440	1.54
AT5G05510	-1.67
AT5G05580	-1.29
AT5G05670	1.87
AT5G05810	-1.28
AT5G05810	-1.36
AT5G05940	-2.79
AT5G06110	1.12
AT5G06150	-3.38
AT5G06150	-3.41
AT5G06290	-1.55
AT5G06470	-1.02
AT5G06580	-1.08
AT5G06700	-1.10
AT5G06710	-1.00
AT5G06740	1.33
AT5G06860	4.02
AT5G06860	3.94
AT5G06860	1.37
AT5G06860	1.26
AT5G06860	1.21
AT5G06860	-1.08
AT5G06860	-1.36
AT5G06860	-1.53
AT5G06920	-1.47
AT5G06920	-2.05
AT5G06940	-1.34
AT5G06950	1.10
AT5G07000	-2.24
AT5G07010	-1.64
AT5G07010	-1.65
AT5G07010	-1.68
AT5G07010	-2.34
AT5G07050	1.70
AT5G07280	-1.11
AT5G07400	1.10
AT5G07590	-1.05
AT5G07680	1.32
AT5G07830	-1.45
AT5G07850	4.66
AT5G07850	3.15
AT5G07850	1.31
AT5G07870	2.58
AT5G07990	2.71
AT5G07990	-1.21
AT5G08020	-1.22
AT5G08020	-1.98
AT5G08100	1.18
AT5G08120	-1.24
AT5G08120	-1.38
AT5G08130	-1.01
AT5G08180	1.87
AT5G08280	-1.27
AT5G09220	2.05
AT5G09300	2.06
AT5G09590	2.47
AT5G09760	-1.62
AT5G09800	2.25
AT5G10110	-1.28
AT5G10190	1.33
AT5G10250	-1.25
AT5G10290	1.37
AT5G10340	-1.21
AT5G10390	-1.26
AT5G10390	-1.39
AT5G10390	-1.66
AT5G10390	-1.66
AT5G10390	-1.97
AT5G10390	-2.02
AT5G10390	-2.34
AT5G10390	-2.57
AT5G10520	1.62
AT5G10690	-1.10
AT5G10840	-1.81
AT5G10870	1.15
AT5G11160	-1.66
AT5G11160	-1.71
AT5G11180	3.09
AT5G11180	2.96
AT5G11290	1.01
AT5G11300	-1.52
AT5G11420	-3.46
AT5G11420	-3.80
AT5G11550	-1.74
AT5G11720	-2.58
AT5G12010	1.29
AT5G12080	3.09
AT5G12080	1.98
AT5G12080	-1.19
AT5G12250	-1.21
AT5G13080	2.70
AT5G13110	1.30
AT5G13180	1.41
AT5G13180	1.12
AT5G13200	2.01
AT5G13210	4.07
AT5G13210	3.06
AT5G13280	1.28
AT5G13400	-1.10
AT5G13500	1.10
AT5G13510	-1.25
AT5G13640	1.50
AT5G13720	-1.10
AT5G13750	3.46
AT5G13750	1.21
AT5G13770	-1.40
AT5G13790	2.59
AT5G13790	2.09
AT5G13840	-3.39
AT5G13870	-2.67
AT5G13930	-1.37
AT5G13930	-1.60
AT5G13960	-2.02
AT5G13980	-1.19
AT5G14030	-1.71
AT5G14040	5.20
AT5G14130	1.38
AT5G14230	2.86
AT5G14230	-1.25
AT5G14230	-1.29
AT5G14230	-1.67
AT5G14320	-1.16
AT5G14320	-1.18
AT5G14450	1.18
AT5G14450	-1.52
AT5G14520	1.04
AT5G14530	1.22
AT5G14530	1.00
