ARA homolog	Log FC
AT1G21270	1.29
AT1G21270	1.00
AT1G21350	-1.42
AT1G21550	1.69
AT1G21640	-1.00
AT1G21880	-1.62
AT1G21980	-1.12
AT1G22380	-1.03
AT1G22400	-1.59
AT1G22460	-1.28
AT1G22900	-1.05
AT1G23170	-1.25
AT1G23280	1.15
AT1G23360	-1.11
AT1G23550	2.87
AT1G23550	1.95
AT1G23740	-1.02
AT1G23740	-1.08
AT1G23790	-2.63
AT1G23800	1.37
AT1G24020	-1.69
AT1G24100	1.42
AT1G24130	2.41
AT1G24440	2.20
AT1G24540	-1.06
AT1G25260	1.18
AT1G26230	-1.00
AT1G26230	-1.02
AT1G26380	3.50
AT1G26380	1.80
AT1G26380	1.75
AT1G26380	1.30
AT1G26760	-1.65
AT1G26761	-1.11
AT1G26880	1.37
AT1G26880	1.21
AT1G26910	1.20
AT1G26910	1.00
AT1G27100	1.65
AT1G27100	1.61
AT1G27190	-1.21
AT1G27210	-1.01
AT1G27330	-1.07
AT1G27340	1.06
AT1G27620	-1.82
AT1G27730	3.07
AT1G27730	2.79
AT1G27730	2.22
AT1G27730	1.57
AT1G27910	-1.07
AT1G27930	-1.48
AT1G27980	1.25
AT1G28110	-1.73
AT1G28110	-2.02
AT1G28250	1.04
AT1G28280	1.56
AT1G28380	1.96
AT1G28395	1.35
AT1G28590	-1.48
AT1G28610	-1.31
AT1G28760	1.53
AT1G29050	1.66
AT1G29050	-2.88
AT1G29070	-1.00
AT1G29320	1.06
AT1G29340	1.00
AT1G29380	-1.03
AT1G29660	-2.67
AT1G29690	1.47
AT1G29930	-1.44
AT1G29930	-1.69
AT1G29930	-1.90
AT1G29940	1.49
AT1G30040	-1.76
AT1G30100	1.27
AT1G30110	-1.03
AT1G30320	1.38
AT1G30380	-1.66
AT1G30520	-1.03
AT1G30690	-2.18
AT1G30700	1.27
AT1G30700	-1.95
AT1G30755	1.21
AT1G30880	1.82
AT1G30900	1.53
AT1G30910	1.03
AT1G30960	1.24
AT1G31280	-1.30
AT1G31330	-1.61
AT1G31460	1.18
AT1G31800	-1.00
AT1G31812	-1.22
AT1G31920	-1.01
AT1G32060	-1.04
AT1G32080	-1.40
AT1G32170	1.95
AT1G32170	1.32
AT1G32190	-2.11
AT1G32450	2.23
AT1G32470	-1.26
AT1G32520	-1.38
